,type,date,price,amount,commission,value,profit
0,buy,2025-01-01 02:00:00,93800.0,0.10650319829424307,10.0,9990.0,
1,sell,2025-01-01 05:00:00,93638.5,0.10650319829424307,9.97279973347548,9972.79973347548,-27.173066257995735
2,buy,2025-01-01 13:00:00,93658.13,0.10626802079870974,9.962826933742004,9952.864106808262,
3,sell,2025-01-02 22:45:00,96911.04,0.10626802079870974,10.298544414344592,10298.544414344591,335.38176312198516
4,buy,2025-01-03 04:00:00,96962.4,0.10599941445405969,10.288245869930247,10277.957624060316,
5,sell,2025-01-03 04:45:00,96813.41,0.10599941445405969,10.262164771300808,10262.164771300808,-26.055017530810176
6,buy,2025-01-03 11:45:00,96757.58,0.1058485619826682,10.251902606529507,10241.650703922978,
7,sell,2025-01-03 23:15:00,98101.01,0.1058485619826682,10.383850837547353,10383.850837547352,131.81628278682786
8,buy,2025-01-04 06:45:00,98127.54,0.10560841043934349,10.373466986709806,10363.093519723096,
9,sell,2025-01-04 09:30:00,97804.33,0.10560841043934349,10.328959825384997,10328.959825384996,-44.462654163484345
10,buy,2025-01-04 14:45:00,98035.04,0.10514926331130228,10.318630865559612,10308.31223469405,
11,sell,2025-01-04 16:45:00,97704.6,0.10514926331130228,10.273566712125467,10273.566712125466,-45.01908928071091
12,buy,2025-01-04 18:45:00,97961.56,0.10466380743903964,10.263293145413341,10253.029852267928,
13,sell,2025-01-05 01:00:00,98282.07,0.10466380743903964,10.286575649190215,10286.575649190216,23.259221273097356
14,buy,2025-01-05 05:00:00,98318.63,0.10441574281972281,10.276289073541026,10266.012784467484,
15,sell,2025-01-05 08:30:00,97885.3,0.10441574281972281,10.220766310631413,10220.766310631414,-55.46724014670208
16,buy,2025-01-05 15:15:00,97908.1,0.10418274891226018,10.210545544320784,10200.334998776461,
17,sell,2025-01-06 09:15:00,99114.26,0.10418274891226018,10.325996063204471,10325.996063204471,115.3350683648061
18,buy,2025-01-06 13:15:00,99320.03,0.10375907454995863,10.315670067141268,10305.354397074127,
19,sell,2025-01-06 22:30:00,101975.52,0.10375907454995863,10.580885581950797,10580.885581950797,264.9502992947194
20,buy,2025-01-06 23:45:00,102235.6,0.10328823219771271,10.570304696368847,10559.734391672479,
21,sell,2025-01-07 02:15:00,101848.49,0.10328823219771271,10.519750484106423,10519.750484106422,-50.503658050163054
22,buy,2025-01-07 08:15:00,101789.6,0.10314139659541537,10.509230733622315,10498.721502888693,
23,sell,2025-01-07 10:00:00,101436.02,0.10314139659541537,10.462252767880486,10462.252767880485,-46.93098777608763
24,buy,2025-01-08 00:00:00,97014.24,0.10762686719596516,10.451790515112606,10441.338724597492,
25,sell,2025-01-08 03:30:00,96484.84,0.10762686719596516,10.384361061103947,10384.361061103948,-67.36202455464884
26,buy,2025-01-08 22:45:00,95290.93,0.10875749374408249,10.373976700042844,10363.602723342801,
27,sell,2025-01-09 03:30:00,94180.24,0.10875749374408249,10.242806862616188,10242.806862616188,-131.03866758922985
28,buy,2025-01-09 16:15:00,94027.11,0.10871685295547016,10.232564055753572,10222.331491697818,
29,sell,2025-01-09 19:15:00,92842.5,0.10871685295547016,10.09354442051824,10093.54442051824,-138.88061560009783
30,buy,2025-01-10 00:45:00,92775.84,0.10857748553094881,10.083450876097722,10073.367425221622,
31,sell,2025-01-10 13:45:00,93557.23,0.10857748553094881,10.15820878664065,10158.20878664065,74.68315263238739
32,buy,2025-01-10 18:30:00,94710.59,0.10704085495905108,10.148050577854008,10137.902527276154,
33,sell,2025-01-11 00:00:00,94661.91,0.10704085495905108,10.132691778456747,10132.691778456747,-15.343440597862607
34,buy,2025-01-11 07:45:00,94246.36,0.10729790017982245,10.12255908667829,10112.436527591612,
35,sell,2025-01-11 09:00:00,94177.98,0.10729790017982245,10.105099497177315,10105.099497177314,-17.442129911474076
36,buy,2025-01-11 09:45:00,94329.45,0.1069114619377348,10.094994397680138,10084.899403282458,
37,sell,2025-01-11 16:15:00,94432.54,0.1069114619377348,10.09592090589362,10095.92090589362,0.9255817052670885
38,buy,2025-01-11 16:30:00,94670.68,0.10642935236128799,10.085824984987728,10075.739160002739,
39,sell,2025-01-11 17:00:00,94111.18,0.10642935236128799,10.016191937356599,10016.191937356598,-69.56341458349723
40,buy,2025-01-11 21:15:00,94808.93,0.10543489489517309,10.006175745419242,9996.169569673822,
41,sell,2025-01-12 01:45:00,94580.0,0.10543489489517309,9.972032359185471,9972.03235918547,-34.10924284753671
42,buy,2025-01-12 05:15:00,94592.54,0.10521018112527118,9.962060326826286,9952.098266499459,
43,sell,2025-01-12 06:45:00,94381.78,0.10521018112527118,9.929924168725496,9929.924168725496,-32.1040219426871
44,buy,2025-01-12 12:45:00,94328.2,0.10505950765849675,9.91999424455677,9910.074250312213,
45,sell,2025-01-12 20:15:00,94772.31,0.10505950765849675,9.956732228258428,9956.732228258428,36.701245717956624
46,buy,2025-01-13 01:00:00,95069.81,0.10452139033973183,9.94677549603017,9936.82872053414,
47,sell,2025-01-13 03:15:00,94300.02,0.10452139033973183,9.85636919946452,9856.36919946452,-90.31589026908603
48,buy,2025-01-13 16:15:00,91693.49,0.1072776956950247,9.846512830265056,9836.66631743479,
49,sell,2025-01-14 09:15:00,96407.72,0.1072776956950247,10.342398048811146,10342.398048811147,495.3893333275447
50,buy,2025-01-14 19:00:00,96930.77,0.10648552152336738,10.332055650762335,10321.723595111573,
51,sell,2025-01-15 06:45:00,97105.48,0.10648552152336738,10.34032768057692,10340.32768057692,8.263757784769727
52,buy,2025-01-15 07:45:00,97301.35,0.10605872750525504,10.329987352896344,10319.657365543448,
53,sell,2025-01-15 10:30:00,97006.8,0.10605872750525504,10.288417767356776,10288.417767356776,-41.528015954029954
54,buy,2025-01-15 13:45:00,98964.0,0.10375339739945666,10.278129349589419,10267.851220239829,
55,sell,2025-01-16 03:00:00,99700.94,0.10375339739945666,10.344311248919384,10344.311248919385,66.11571743063645
56,buy,2025-01-16 08:15:00,99549.99,0.1037030035938004,10.333966937670466,10323.632970732795,
57,sell,2025-01-16 08:45:00,98955.8,0.1037030035938004,10.262013683027394,10262.013683027393,-71.8813013884279
58,buy,2025-01-16 17:15:00,99868.92,0.10254942095774161,10.251751669344365,10241.49991767502,
59,sell,2025-01-17 00:00:00,100277.8,0.10254942095774161,10.283430324916223,10283.430324916222,31.646976916285645
60,buy,2025-01-17 00:45:00,100120.58,0.10250513678303416,10.273146894591306,10262.873747696714,
61,sell,2025-01-17 22:45:00,104410.39,0.10250513678303416,10.702601308519943,10702.601308519943,429.0249595147076
62,buy,2025-01-18 11:30:00,103691.44,0.10300953298077654,10.691898707211424,10681.206808504212,
63,sell,2025-01-18 18:30:00,104225.5,0.10300953298077654,10.736220079687927,10736.220079687926,44.277051104025354
64,buy,2025-01-18 19:00:00,104160.59,0.10286768129624294,10.725483859608238,10714.758375748628,
65,sell,2025-01-18 22:15:00,104199.61,0.10286768129624294,10.718772272672808,10718.772272672808,-6.7048753484929895
66,buy,2025-01-18 22:45:00,104291.3,0.10257179119351024,10.708053500400137,10697.345446899735,
67,sell,2025-01-19 09:00:00,104121.85,0.10257179119351024,10.679964656881996,10679.964656881995,-28.060754674622007
68,buy,2025-01-19 14:15:00,105448.02,0.10107933185974367,10.669284692225114,10658.615407532889,
69,sell,2025-01-19 17:15:00,104556.0,0.10107933185974367,10.56845062192736,10568.450621927359,-100.73323622745632
70,buy,2025-01-19 18:30:00,105051.79,0.10040118582590668,10.557882171305431,10547.324289134125,
71,sell,2025-01-19 18:45:00,105042.9,0.10040118582590668,10.546431722592132,10546.431722592131,-11.438998264584384
72,buy,2025-01-19 19:00:00,105251.98,0.10000143850575229,10.535885290869539,10525.349405578669,
73,sell,2025-01-19 22:30:00,103356.46,0.10000143850575229,10.335794678862246,10335.794678862247,-199.89052139528476
74,buy,2025-01-20 04:45:00,102232.34,0.10089892714281216,10.325458884183385,10315.133425299202,
75,sell,2025-01-20 13:30:00,107689.47,0.10089892714281216,10.865751987578056,10865.751987578056,539.752810291277
76,buy,2025-01-20 17:30:00,100786.25,0.10759435289392043,10.85488623559048,10844.031349354887,
77,sell,2025-01-21 05:45:00,101365.98,0.10759435289392043,10.90640702355808,10906.40702355808,51.46926717963397
78,buy,2025-01-21 09:00:00,102543.37,0.10614635657008335,10.895500616534523,10884.605115917988,
79,sell,2025-01-21 23:45:00,106143.82,0.10614635657008335,11.266779765430746,11266.779765430745,370.90786974732714
80,buy,2025-01-22 20:00:00,104572.23,0.10752622826040575,11.255512985665314,11244.25747267965,
81,sell,2025-01-22 22:00:00,104005.11,0.10752622826040575,11.18327719810861,11183.27719810861,-72.16355176914942
82,buy,2025-01-23 14:30:00,104940.95,0.10635430522583979,11.172093920910502,11160.921826989592,
83,sell,2025-01-23 21:00:00,102939.99,0.10635430522583979,10.948111116404897,10948.111116404896,-223.75882170110043
84,buy,2025-01-24 04:30:00,104421.96,0.10463532615441429,10.937163005288493,10926.225842283204,
85,sell,2025-01-24 14:15:00,105266.02,0.10463532615441429,11.014544335677098,11014.544335677097,77.30394905821758
86,buy,2025-01-24 14:30:00,106222.0,0.10348634239187812,11.00352979134142,10992.526261550078,
87,sell,2025-01-24 20:45:00,104859.11,0.10348634239187812,10.851485760367613,10851.485760367612,-151.89198694283434
88,buy,2025-01-25 04:45:00,104648.0,0.10348782241736715,10.840634274607245,10829.793640332637,
89,sell,2025-01-25 06:15:00,104367.8,0.10348782241736715,10.800796352491293,10800.796352491292,-39.79808419383727
90,buy,2025-01-25 11:45:00,104670.99,0.10298178664960236,10.789995556138802,10779.205560582663,
91,sell,2025-01-26 00:15:00,104664.36,0.10298178664960236,10.778522791337176,10778.522791337176,-11.461292036824519
92,buy,2025-01-26 04:15:00,105380.0,0.10207797043345315,10.767744268545838,10756.976524277294,
93,sell,2025-01-26 09:30:00,104629.16,0.10207797043345315,10.68033230095704,10680.33230095704,-87.32455562121064
94,buy,2025-01-26 14:00:00,104834.57,0.10167430759421654,10.669651968656083,10658.982316687427,
95,sell,2025-01-26 21:30:00,104803.65,0.10167430759421654,10.65583854709661,10655.838547096611,-13.799608137911088
96,buy,2025-01-27 13:00:00,101628.22,0.10464158012253846,10.645182708549516,10634.537525840966,
97,sell,2025-01-27 17:00:00,99585.87,0.10464158012253846,10.420822794677699,10420.822794677699,-224.13555395794472
98,buy,2025-01-27 21:00:00,102295.12,0.10166654645804353,10.41040197188302,10399.991569911137,
99,sell,2025-01-28 09:45:00,102955.99,0.10166654645804353,10.467179940468867,10467.179940468866,56.72119061725937
100,buy,2025-01-29 01:45:00,101845.02,0.10257012122701599,10.456712760528397,10446.256047767869,
101,sell,2025-01-29 12:45:00,102229.85,0.10257012122701599,10.48572810751966,10485.72810751966,28.98633164427308
102,buy,2025-01-29 18:15:00,102581.4,0.10201427487861082,10.47524237941214,10464.767137032728,
103,sell,2025-01-30 12:30:00,104894.9,0.10201427487861082,10.700777161964394,10700.777161964394,225.30924776970176
104,buy,2025-01-30 15:00:00,106236.47,0.10052467206805371,10.69007638480243,10679.386308417626,
105,sell,2025-01-30 19:00:00,105472.86,0.10052467206805371,10.60262466357974,10602.62466357974,-87.36426950146628
106,buy,2025-01-30 20:00:00,105772.32,0.10003968918217208,10.592022038916161,10581.430016877244,
107,sell,2025-01-30 21:00:00,104966.28,0.10003968918217208,10.500794025808846,10500.794025808846,-91.13678509420764
108,buy,2025-01-31 07:15:00,104676.71,0.10011589911978751,10.490293231783037,10479.802938551253,
109,sell,2025-01-31 08:45:00,104028.78,0.10011589911978751,10.414934844034567,10414.934844034568,-75.28302936071924
110,buy,2025-01-31 11:30:00,104741.12,0.09923624445949539,10.404519909190533,10394.115389281342,
111,sell,2025-01-31 18:15:00,104018.68,0.09923624445949539,10.322423156834024,10322.423156834024,-82.0146556041521
112,buy,2025-02-01 01:15:00,102710.38,0.10029939167729211,10.31210073367719,10301.788632943511,
113,sell,2025-02-01 04:45:00,102316.16,0.10029939167729211,10.262248606756488,10262.248606756488,-49.8022747937787
114,buy,2025-02-01 13:15:00,102246.0,0.10016757987394698,10.251986358149733,10241.734371791583,
