,type,date,price,amount,commission,value,profit
0,buy,2023-07-02 20:00:00,30554.43,0.32695749847076183,10.0,9990.0,
1,sell,2023-07-02 22:30:00,30571.8,0.32695749847076183,9.995679251748436,9995.679251748435,-4.316427503311636
2,buy,2023-07-03 07:30:00,30727.57,0.3246497490339845,9.985683572496688,9975.697888924191,
3,sell,2023-07-03 08:15:00,30624.58,0.3246497490339845,9.942262211271181,9942.262211271182,-43.37793986428059
4,buy,2023-07-06 05:30:00,30578.39,0.32449019157355413,9.932319949059911,9922.387629110852,
5,sell,2023-07-08 11:15:00,30196.0,0.32449019157355413,9.79830582475504,9798.30582475504,-133.88011018056622
6,buy,2023-07-08 13:15:00,30220.08,0.32358349188391805,9.788507518930285,9778.719011411355,
7,sell,2023-07-08 15:00:00,30186.91,0.32358349188391805,9.767985746985566,9767.985746985565,-20.50125017277574
8,buy,2023-07-08 16:30:00,30283.99,0.32190142525728416,9.75821776123858,9748.459543477342,
9,sell,2023-07-09 10:00:00,30269.85,0.32190142525728416,9.743907857324203,9743.907857324202,-14.295594010463184
10,buy,2023-07-09 12:15:00,30287.32,0.3210726398214636,9.734163949466879,9724.429785517412,
11,sell,2023-07-10 05:30:00,30102.43,0.3210726398214636,9.665066665140822,9665.066665140821,-69.02818704173104
12,buy,2023-07-10 07:00:00,30137.8,0.3200547550543572,9.655401598475681,9645.746196877206,
13,sell,2023-07-12 01:00:00,30552.75,0.3200547550543572,9.778552917487012,9778.552917487012,123.02816769231873
14,buy,2023-07-12 02:30:00,30610.37,0.31881370889031907,9.768774364569525,9759.005590204955,
15,sell,2023-07-12 07:15:00,30792.01,0.31881370889031907,9.816914912287794,9816.914912287793,48.09240717054958
16,buy,2023-07-12 11:15:00,30731.34,0.31880454608806935,9.807097997375505,9797.29089937813,
17,sell,2023-07-12 12:45:00,30721.17,0.31880454608806935,9.794048657144414,9794.048657144413,-13.036290890860682
18,buy,2023-07-13 06:00:00,30345.99,0.32210088891081756,9.784254608487268,9774.470353878782,
19,sell,2023-07-14 05:30:00,31359.99,0.32210088891081756,10.10108065523435,10101.08065523435,316.50922070033465
20,buy,2023-07-15 07:00:00,30344.4,0.3322157826486777,10.090979574579114,10080.888595004535,
21,sell,2023-07-18 23:00:00,29792.65,0.3322157826486777,9.897588536928128,9897.588536928128,-193.19764661333605
22,buy,2023-07-19 00:00:00,29877.02,0.3306154113577194,9.887690948391201,9877.803257442809,
23,sell,2023-07-19 11:30:00,29984.78,0.3306154113577194,9.913430374170717,9913.430374170717,25.7136863537366
24,buy,2023-07-19 13:30:00,30041.51,0.3293314293074067,9.903516943796546,9893.613426852751,
25,sell,2023-07-20 03:30:00,29939.5,0.3293314293074067,9.860018327749103,9860.018327749103,-43.455117431397134
26,buy,2023-07-20 05:15:00,30037.06,0.32760556962338966,9.850158309421355,9840.308151111933,
27,sell,2023-07-21 00:15:00,29775.0,0.32760556962338966,9.754455835536428,9754.455835536428,-95.60677141104236
28,buy,2023-07-21 01:15:00,29865.99,0.32595459512044267,9.744701379700892,9734.95667832119,
29,sell,2023-07-22 16:00:00,29865.26,0.32595459512044267,9.734718731466751,9734.718731466752,-9.972665585905718
30,buy,2023-07-22 23:15:00,29697.18,0.3271441607830289,9.724984012735286,9715.25902872255,
31,sell,2023-07-24 01:00:00,29978.01,0.3271441607830289,9.807130923395247,9807.130923395247,82.06476374930213
32,buy,2023-07-24 02:00:00,29812.0,0.32830828084930164,9.797323792471852,9787.52646867938,
33,sell,2023-07-24 07:00:00,29749.99,0.32830828084930164,9.767168072183917,9767.168072183917,-30.125564567648585
34,buy,2023-07-24 07:30:00,29846.55,0.32659196802336027,9.757400904111734,9747.643503207622,
35,sell,2023-07-24 08:30:00,29770.56,0.32659196802336027,9.722825779557528,9722.825779557528,-34.54054942965201
36,buy,2023-07-24 09:45:00,29178.01,0.33255831534858593,9.713102953777971,9703.389850824193,
37,sell,2023-07-25 23:30:00,29223.46,0.33255831534858593,9.718504626256786,9718.504626256787,5.396270806336686
